Country,Customer ID,R,F,M,R Score,F Score,M Score,RFM Score,Segmentation
Australia,12386.0,4720,2,401.9,1,2,2,122,Bronze
Australia,12388.0,4398,6,2780.6600000000003,4,4,5,445,Platinum
Australia,12393.0,4455,4,1632.4,2,4,4,244,Silver
Australia,12415.0,4407,21,124914.53,4,5,5,455,Platinum
Australia,12422.0,4478,2,386.2,2,2,2,222,Silver
Australia,12424.0,4545,2,1760.96,2,2,4,224,Silver
Australia,12431.0,4418,13,5447.17,3,5,5,355,Gold
Australia,12434.0,4467,2,806.14,2,2,3,223,Silver
Australia,16321.0,4455,5,373.65,2,4,2,242,Silver
Austria,12358.0,4384,2,1168.06,5,2,4,524,Titanium
Austria,12360.0,4435,3,2662.06,3,3,5,335,Gold
Austria,12370.0,4740,1,277.2,1,1,2,112,Bronze
Austria,12373.0,4694,1,364.6,1,1,2,112,Bronze
Austria,12374.0,4408,1,742.93,4,1,3,413,Platinum
Austria,12414.0,4600,3,562.41,1,3,3,133,Bronze
Austria,12429.0,4610,1,437.98,1,1,2,112,Bronze
Austria,12453.0,4517,1,707.09,2,1,3,213,Silver
Austria,12817.0,4664,1,166.04,1,1,1,111,Bronze
Austria,12818.0,4644,1,1542.08,1,1,4,114,Bronze
Austria,12865.0,4409,2,1568.23,4,2,4,424,Platinum
Bahrain,12353.0,4587,1,89.0,1,1,1,111,Bronze
Bahrain,12355.0,4597,1,459.4,1,1,2,112,Bronze
Belgium,12361.0,4670,1,189.9,1,1,1,111,Bronze
Belgium,12362.0,4386,10,5226.23,5,5,5,555,Titanium
Belgium,12364.0,4390,4,1313.1,5,4,4,544,Titanium
Belgium,12379.0,4464,2,852.24,2,2,3,223,Silver
Belgium,12380.0,4404,4,2724.81,4,4,5,445,Platinum
Belgium,12383.0,4567,5,1850.56,1,4,4,144,Bronze
Belgium,12390.0,4462,1,549.84,2,1,3,213,Silver
Belgium,12394.0,4600,1,381.08,1,1,2,112,Bronze
Belgium,12395.0,4402,12,3018.63,4,5,5,455,Platinum
Belgium,12397.0,4418,2,2409.9,3,2,5,325,Gold
Belgium,12399.0,4502,4,1108.65,2,4,4,244,Silver
Belgium,12401.0,4686,1,84.3,1,1,1,111,Bronze
Belgium,12402.0,4706,1,225.6,1,1,1,111,Bronze
Belgium,12407.0,4432,5,1708.12,3,4,4,344,Gold
Belgium,12408.0,4415,5,2888.5499999999997,4,4,5,445,Platinum
Belgium,12417.0,4386,8,3212.8,5,5,5,555,Titanium
Belgium,12423.0,4383,8,1859.31,5,5,4,554,Titanium
Belgium,12431.0,4443,2,972.78,3,2,4,324,Gold
Belgium,12447.0,4626,1,476.49,1,1,2,112,Bronze
Belgium,12449.0,4405,4,4067.29,4,4,5,445,Platinum
Belgium,12463.0,4436,4,1344.78,3,4,4,344,Gold
Belgium,12464.0,4393,8,1212.05,5,5,4,554,Titanium
Belgium,12465.0,4400,2,742.1899999999999,4,2,3,423,Platinum
Belgium,12866.0,4666,1,559.12,1,1,3,113,Bronze
Belgium,12876.0,4440,2,2218.02,3,2,5,325,Gold
Brazil,12769.0,4621,1,1143.6,1,1,4,114,Bronze
Canada,15388.0,4653,1,140.54,1,1,1,111,Bronze
Canada,17443.0,4602,1,534.24,1,1,3,113,Bronze
Canada,17444.0,4530,3,2940.04,2,3,5,235,Silver
Canada,17844.0,4489,1,51.56,2,1,1,211,Silver
Channel Islands,14442.0,4587,2,1589.82,1,2,4,124,Bronze
Channel Islands,14566.0,4493,1,1432.0,2,1,4,214,Silver
Channel Islands,14930.0,4491,3,2362.96,2,3,5,235,Silver
Channel Islands,14931.0,4387,5,1257.68,5,4,4,544,Titanium
Channel Islands,14932.0,4748,1,363.53,1,1,2,112,Bronze
Channel Islands,14934.0,4464,2,1890.94,2,2,4,224,Silver
Channel Islands,14935.0,4680,1,1784.71,1,1,4,114,Bronze
Channel Islands,14936.0,4416,8,8137.02,3,5,5,355,Gold
Channel Islands,14937.0,4439,3,1621.88,3,3,4,334,Gold
Cyprus,12359.0,4440,4,6641.53,3,4,5,345,Gold
Cyprus,12365.0,4674,2,641.38,1,2,3,123,Bronze
Cyprus,12370.0,4434,3,3264.74,3,3,5,335,Gold
Cyprus,12391.0,4404,1,443.41,4,1,2,412,Platinum
Cyprus,12420.0,4446,1,600.39,3,1,3,313,Gold
Cyprus,12455.0,4678,2,1698.9,1,2,4,124,Bronze
Cyprus,12457.0,4449,2,392.7,3,2,2,322,Gold
Cyprus,13809.0,4688,1,181.6,1,1,1,111,Bronze
Czech Republic,12781.0,4446,2,826.74,3,2,3,323,Gold
Denmark,12367.0,4387,1,168.89999999999998,5,1,1,511,Titanium
Denmark,12372.0,4454,3,1298.04,3,3,4,334,Gold
Denmark,12394.0,4446,1,891.4,3,1,3,313,Gold
Denmark,12403.0,4432,1,427.7,3,1,2,312,Gold
Denmark,12406.0,4405,2,3616.55,4,2,5,425,Platinum
Denmark,12412.0,4457,3,1226.88,2,3,4,234,Silver
Denmark,12429.0,4392,3,3312.42,5,3,5,535,Titanium
