R,F,M
4720,2,401.9
4398,6,2780.6600000000003
4455,4,1632.4
4407,21,124914.53
4478,2,386.2
4545,2,1760.96
4418,13,5447.17
4467,2,806.14
4455,5,373.65
4384,2,1168.06
4435,3,2662.06
4740,1,277.2
4694,1,364.6
4408,1,742.93
4600,3,562.41
4610,1,437.98
4517,1,707.09
4664,1,166.04
4644,1,1542.08
4409,2,1568.23
4587,1,89.0
4597,1,459.4
4670,1,189.9
4386,10,5226.23
4390,4,1313.1
4464,2,852.24
4404,4,2724.81
4567,5,1850.56
4462,1,549.84
4600,1,381.08
4402,12,3018.63
4418,2,2409.9
4502,4,1108.65
4686,1,84.3
4706,1,225.6
4432,5,1708.12
4415,5,2888.5499999999997
4386,8,3212.8
4383,8,1859.31
4443,2,972.78
4626,1,476.49
4405,4,4067.29
4436,4,1344.78
4393,8,1212.05
4400,2,742.1899999999999
4666,1,559.12
4440,2,2218.02
4621,1,1143.6
4653,1,140.54
4602,1,534.24
4530,3,2940.04
4489,1,51.56
4587,2,1589.82
4493,1,1432.0
4491,3,2362.96
4387,5,1257.68
4748,1,363.53
4464,2,1890.94
4680,1,1784.71
4416,8,8137.02
4439,3,1621.88
4440,4,6641.53
4674,2,641.38
4434,3,3264.74
4404,1,443.41
4446,1,600.39
4678,2,1698.9
4449,2,392.7
4688,1,181.6
4446,2,826.74
4387,1,168.89999999999998
4454,3,1298.04
4446,1,891.4
4432,1,427.7
4405,2,3616.55
4457,3,1226.88
4392,3,3312.42
4462,2,7829.89
4442,2,384.81
4524,4,1300.25
4458,4,2101.56
4393,2,457.5
4531,1,1710.39
4408,9,7956.46
4621,2,511.36
4390,1,144.0
4422,1,214.89999999999998
4392,2,1270.88
4440,1,640.5
4391,9,4881.88
4441,1,620.13
4390,8,2340.84
4449,3,758.1
4384,18,4951.41
4749,1,173.55
4392,3,1298.66
4719,1,334.93
4388,10,5417.93
4421,1,522.8000000000001
4548,2,433.74
4398,7,1246.1000000000001
4615,1,73.5
4409,2,410.6
4667,1,176.5
4495,1,612.29
4402,11,1789.77
4413,1,349.83000000000004
4474,2,716.35
4426,3,12601.830000000002
4391,10,3692.28
