R,F,M,R Score,F Score,M Score,RFM Score,Segmentation
4720,2,401.9,1,2,2,122,Bronze
4398,6,2780.6600000000003,4,4,5,445,Platinum
4455,4,1632.4,2,4,4,244,Silver
4407,21,124914.53,4,5,5,455,Platinum
4478,2,386.2,2,2,2,222,Silver
4545,2,1760.96,2,2,4,224,Silver
4418,13,5447.17,3,5,5,355,Gold
4467,2,806.14,2,2,3,223,Silver
4455,5,373.65,2,4,2,242,Silver
4384,2,1168.06,5,2,4,524,Titanium
4435,3,2662.06,3,3,5,335,Gold
4740,1,277.2,1,1,2,112,Bronze
4694,1,364.6,1,1,2,112,Bronze
4408,1,742.93,4,1,3,413,Platinum
4600,3,562.41,1,3,3,133,Bronze
4610,1,437.98,1,1,2,112,Bronze
4517,1,707.09,2,1,3,213,Silver
4664,1,166.04,1,1,1,111,Bronze
4644,1,1542.08,1,1,4,114,Bronze
4409,2,1568.23,4,2,4,424,Platinum
4587,1,89.0,1,1,1,111,Bronze
4597,1,459.4,1,1,2,112,Bronze
4670,1,189.9,1,1,1,111,Bronze
4386,10,5226.23,5,5,5,555,Titanium
4390,4,1313.1,5,4,4,544,Titanium
4464,2,852.24,2,2,3,223,Silver
4404,4,2724.81,4,4,5,445,Platinum
4567,5,1850.56,1,4,4,144,Bronze
4462,1,549.84,2,1,3,213,Silver
4600,1,381.08,1,1,2,112,Bronze
4402,12,3018.63,4,5,5,455,Platinum
4418,2,2409.9,3,2,5,325,Gold
4502,4,1108.65,2,4,4,244,Silver
4686,1,84.3,1,1,1,111,Bronze
4706,1,225.6,1,1,1,111,Bronze
4432,5,1708.12,3,4,4,344,Gold
4415,5,2888.5499999999997,4,4,5,445,Platinum
4386,8,3212.8,5,5,5,555,Titanium
4383,8,1859.31,5,5,4,554,Titanium
4443,2,972.78,3,2,4,324,Gold
4626,1,476.49,1,1,2,112,Bronze
4405,4,4067.29,4,4,5,445,Platinum
4436,4,1344.78,3,4,4,344,Gold
4393,8,1212.05,5,5,4,554,Titanium
4400,2,742.1899999999999,4,2,3,423,Platinum
4666,1,559.12,1,1,3,113,Bronze
4440,2,2218.02,3,2,5,325,Gold
4621,1,1143.6,1,1,4,114,Bronze
4653,1,140.54,1,1,1,111,Bronze
4602,1,534.24,1,1,3,113,Bronze
4530,3,2940.04,2,3,5,235,Silver
4489,1,51.56,2,1,1,211,Silver
4587,2,1589.82,1,2,4,124,Bronze
4493,1,1432.0,2,1,4,214,Silver
4491,3,2362.96,2,3,5,235,Silver
4387,5,1257.68,5,4,4,544,Titanium
4748,1,363.53,1,1,2,112,Bronze
4464,2,1890.94,2,2,4,224,Silver
4680,1,1784.71,1,1,4,114,Bronze
4416,8,8137.02,3,5,5,355,Gold
4439,3,1621.88,3,3,4,334,Gold
4440,4,6641.53,3,4,5,345,Gold
4674,2,641.38,1,2,3,123,Bronze
4434,3,3264.74,3,3,5,335,Gold
4404,1,443.41,4,1,2,412,Platinum
4446,1,600.39,3,1,3,313,Gold
4678,2,1698.9,1,2,4,124,Bronze
4449,2,392.7,3,2,2,322,Gold
4688,1,181.6,1,1,1,111,Bronze
4446,2,826.74,3,2,3,323,Gold
4387,1,168.89999999999998,5,1,1,511,Titanium
4454,3,1298.04,3,3,4,334,Gold
4446,1,891.4,3,1,3,313,Gold
4432,1,427.7,3,1,2,312,Gold
4405,2,3616.55,4,2,5,425,Platinum
4457,3,1226.88,2,3,4,234,Silver
4392,3,3312.42,5,3,5,535,Titanium
4462,2,7829.89,2,2,5,225,Silver
4442,2,384.81,3,2,2,322,Gold
4524,4,1300.25,2,4,4,244,Silver
4458,4,2101.56,2,4,5,245,Silver
4393,2,457.5,5,2,2,522,Titanium
4531,1,1710.39,2,1,4,214,Silver
4408,9,7956.46,4,5,5,455,Platinum
4621,2,511.36,1,2,3,123,Bronze
4390,1,144.0,5,1,1,511,Titanium
4422,1,214.89999999999998,3,1,1,311,Gold
4392,2,1270.88,5,2,4,524,Titanium
4440,1,640.5,3,1,3,313,Gold
4391,9,4881.88,5,5,5,555,Titanium
4441,1,620.13,3,1,3,313,Gold
4390,8,2340.84,5,5,5,555,Titanium
4449,3,758.1,3,3,3,333,Gold
4384,18,4951.41,5,5,5,555,Titanium
4749,1,173.55,1,1,1,111,Bronze
